Date,Addison Road,Anacostia,Archives,Arlington Cemetery,Ashburn,Ballston-MU,Benning Road,Bethesda,Braddock Road,Branch Ave,Brookland-CUA,Capitol Heights,Capitol South,Cheverly,Clarendon,Cleveland Park,College Park-U of Md,Columbia Heights,Congress Heights,Court House,Crystal City,Deanwood,Downtown Largo,Dulles Airport,Dunn Loring,Dupont Circle,East Falls Church,Eastern Market,Eisenhower Ave,Farragut North,Farragut West,Federal Center SW,Federal Triangle,Foggy Bottom-GWU,Forest Glen,Fort Totten,Franconia-Springfield,Friendship Heights,Gallery Place,Georgia Ave-Petworth,Glenmont,Greenbelt,Greensboro,Grosvenor-Strathmore,Herndon,Huntington,Hyattsville Crossing,Innovation Center,Judiciary Square,King St-Old Town,L'Enfant Plaza,Landover,Loudoun Gateway,McLean,McPherson Sq,Medical Center,Metro Center,Minnesota Ave,Morgan Boulevard,Mt Vernon Sq,Navy Yard-Ballpark,Naylor Road,New Carrollton,NoMa-Gallaudet U,North Bethesda,Pentagon,Pentagon City,Potomac Ave,Reston Town Center,Rhode Island Ave,Rockville,Ronald Reagan Washington National Airport,Rosslyn,Shady Grove,Shaw-Howard U,Silver Spring,Smithsonian,Southern Ave,Spring Hill,Stadium-Armory,Suitland,Takoma,Tenleytown-AU,Twinbrook,Tysons,U Street,Union Station,Van Dorn Street,Van Ness-UDC,Vienna,Virginia Sq-GMU,Waterfront,West Falls Church,West Hyattsville,Wheaton,Wiehle-Reston East,Woodley Park
2023-03-01,243.6,444.2,540.8,96.5,247.2,1061.0,281.0,913.4,406.8,434.8,684.2,192.2,1023.6,94.4,496.2,433.8,349.6,1267.8,213.8,653.0,992.6,135.2,371.6,210.4,318.6,1705.6,468.4,627.0,161.6,2183.6,2011.6,458.4,760.2,2359.4,233.4,1099.0,595.4,705.8,2102.6,638.4,618.4,531.4,148.4,447.2,147.4,508.2,440.8,118.6,696.2,557.2,1671.0,149.6,67.0,252.4,1397.8,569.4,2731.0,203.0,158.2,417.4,1024.4,185.8,505.2,1454.2,350.4,1325.8,1055.8,413.8,120.8,636.4,429.8,778.6,1402.6,1049.4,541.2,1060.8,708.2,324.6,103.4,284.2,311.4,584.6,776.0,426.8,298.2,677.8,2399.6,224.0,642.0,747.8,400.2,508.8,215.4,410.8,348.6,327.6,652.4
2023-03-02,247.0,469.4,499.8,119.25,208.0,1008.0,275.2,833.6,380.2,406.8,687.6,191.4,936.0,91.2,483.0,403.4,352.6,1204.2,233.0,646.2,1011.4,135.8,338.4,238.0,294.8,1746.6,457.2,623.2,181.0,2068.4,1879.0,407.6,727.0,2397.6,217.8,1056.8,554.0,684.6,2015.8,660.0,565.8,478.0,171.4,411.4,124.4,513.8,430.8,118.6,648.2,553.0,1411.6,136.2,64.2,237.2,1288.4,556.4,2588.8,204.0,141.6,449.6,967.8,185.6,461.0,1378.0,351.4,1290.2,1016.2,414.0,122.2,600.0,383.2,671.2,1350.2,916.8,493.0,1006.4,686.0,323.2,91.0,290.0,301.6,559.6,722.6,398.6,306.8,666.6,2324.8,217.2,569.6,672.6,396.2,478.8,200.6,388.2,350.4,309.8,647.6
2023-03-03,203.6,412.0,474.8,84.5,152.2,815.6,243.2,639.6,266.2,315.8,608.4,171.4,746.6,65.4,391.0,352.6,333.6,1139.6,198.4,513.2,755.0,123.0,278.0,241.0,223.2,1434.2,339.2,550.4,123.2,1368.2,1235.6,316.2,561.8,1977.8,149.8,909.4,451.8,542.6,1929.2,587.4,437.6,376.8,96.4,320.8,98.2,434.0,397.4,91.2,455.2,436.6,1201.2,110.0,35.6,142.6,879.6,454.6,1795.8,176.0,119.2,463.4,823.6,139.8,361.0,1065.4,255.8,1055.2,901.6,338.0,81.2,540.8,308.8,696.8,1033.6,740.4,500.4,840.8,646.2,332.4,79.0,240.4,265.2,453.0,617.4,339.8,263.6,679.2,1856.2,178.8,458.4,528.8,297.6,438.0,134.8,352.2,304.2,251.6,491.6
2023-03-04,199.2,207.4,390.8,219.25,146.6,753.0,132.2,502.2,210.0,145.8,381.8,84.2,342.6,27.8,450.8,337.6,385.6,1019.0,129.2,435.2,599.4,63.0,15.8,226.2,188.2,1222.4,278.4,574.6,99.4,661.0,571.2,221.0,327.0,1576.4,98.8,529.0,327.6,379.2,1933.8,419.2,278.6,306.8,83.8,221.4,83.6,254.6,291.2,90.4,225.6,503.0,790.6,49.2,17.2,102.2,609.6,110.4,1554.0,87.4,15.0,389.6,679.2,69.4,230.4,988.6,188.2,152.0,916.8,238.2,69.6,421.8,220.2,581.2,805.6,513.2,342.8,680.8,1023.0,144.4,56.2,156.4,105.6,295.2,481.6,239.2,331.4,709.6,1050.2,125.4,337.8,420.2,283.6,419.2,97.8,222.2,241.4,192.2,588.4
2023-03-05,165.0,168.2,273.6,236.75,147.8,469.8,98.6,381.0,173.0,133.6,273.0,58.6,173.4,26.4,302.2,234.0,236.0,672.0,117.6,329.6,427.4,52.6,3.6666666666666665,273.8,120.4,967.0,229.4,448.0,76.8,468.6,425.2,151.6,237.8,1079.2,89.6,408.6,239.0,282.8,1454.2,286.8,207.8,245.8,75.2,183.2,70.8,196.8,201.6,65.0,183.2,373.4,665.8,35.6,19.2,68.2,446.0,78.8,1136.0,60.6,2.0,302.8,1057.4,59.6,162.2,671.4,160.8,108.2,709.4,166.0,69.0,297.4,171.2,741.2,621.8,414.0,284.4,496.2,992.0,123.2,56.0,123.8,91.8,203.0,313.4,181.8,244.8,470.4,915.0,96.4,266.2,331.4,212.4,370.2,70.0,173.4,189.6,163.4,546.4
2023-03-06,220.8,426.4,512.0,153.5,195.6,806.2,246.8,699.8,333.4,340.8,562.4,175.4,779.0,83.2,377.0,359.2,298.2,1127.6,208.2,498.0,792.8,129.4,319.8,279.8,245.0,1365.8,384.4,503.4,147.75,1687.2,1514.6,344.0,597.4,2102.8,169.4,959.2,491.0,577.0,1327.8,574.2,470.0,388.2,117.4,345.6,114.4,461.6,392.4,99.6,563.2,511.6,1258.0,132.4,47.2,152.2,1028.0,527.8,1911.8,180.8,121.6,341.4,811.6,162.4,413.2,1141.0,274.2,1159.0,856.0,348.6,115.0,551.8,343.4,829.2,1090.2,792.4,411.6,867.0,721.8,333.4,79.8,269.4,271.8,487.8,640.8,351.2,249.4,526.4,2073.0,193.6,452.2,590.8,294.6,429.6,161.8,362.6,300.0,255.8,543.6
2023-03-07,236.4,466.8,594.2,126.0,264.8,1034.4,256.8,863.4,400.2,406.6,630.0,185.0,1055.0,101.8,439.6,433.4,343.4,1201.0,236.8,651.4,926.0,135.8,395.2,225.6,311.2,1722.2,472.2,632.6,155.0,2254.8,2058.4,436.4,793.2,2420.4,213.0,1038.0,586.6,694.0,1736.0,657.8,589.4,456.0,148.0,451.0,147.6,531.4,432.0,103.2,700.6,568.6,1605.6,146.0,68.0,233.6,1405.8,572.0,2709.8,194.6,143.4,410.4,1038.4,176.0,508.8,1441.4,324.4,1344.6,1026.6,416.0,123.0,644.8,394.8,710.2,1373.2,955.6,481.6,1027.6,806.8,374.6,101.4,285.4,292.8,556.6,728.8,400.6,328.6,645.2,2422.0,230.2,543.8,723.4,386.6,480.8,208.8,375.2,354.8,329.4,650.4
2023-03-08,237.4,449.6,567.0,128.4,252.2,1062.0,266.2,895.4,407.0,434.0,633.6,189.0,1071.4,102.4,498.8,475.2,364.2,1248.8,239.6,661.4,1000.8,142.0,372.2,233.0,314.2,1745.2,473.6,636.4,172.8,2215.8,2030.4,510.0,837.6,2518.8,237.6,1077.2,573.6,739.4,2112.6,671.2,615.8,488.4,161.6,448.4,183.25,535.8,426.4,111.6,695.0,582.6,1688.4,148.0,63.2,249.4,1424.6,573.0,2804.8,190.6,149.6,434.8,1056.0,183.2,505.8,1513.4,331.6,1301.8,1071.4,420.4,132.6,619.2,396.8,743.4,1376.8,978.0,464.6,1037.8,852.6,378.8,100.8,292.8,299.4,546.8,778.4,422.2,330.0,680.0,2514.2,237.0,577.8,767.2,405.0,494.8,215.4,396.2,358.4,321.8,599.4
2023-03-09,229.8,438.8,604.4,147.8,262.8,1064.8,253.2,923.6,396.0,406.8,597.8,185.8,1039.8,90.6,522.8,430.0,387.4,1184.0,225.2,671.6,960.8,121.6,341.0,249.4,329.2,1697.4,478.8,646.6,164.8,2133.0,1948.0,437.8,795.0,2550.2,219.6,1024.8,598.4,713.0,2440.4,618.2,590.2,515.0,164.2,466.4,139.6,537.4,416.2,116.2,721.0,569.0,1596.4,137.4,60.2,228.0,1384.4,556.0,2842.6,187.0,132.8,506.4,1034.6,183.0,481.0,1370.8,338.0,1265.0,1103.0,400.4,125.4,625.2,424.2,816.6,1375.2,1017.0,416.0,1035.0,890.4,346.6,100.6,270.2,290.4,547.6,706.6,408.0,336.4,694.6,2330.2,227.0,534.2,764.4,396.4,495.6,207.8,398.8,353.0,349.2,584.8
2023-03-10,205.4,367.0,490.8,104.8,159.8,842.4,215.2,667.8,296.2,327.0,544.0,163.2,829.4,72.4,435.6,358.6,353.8,1074.4,178.0,549.4,715.0,102.6,266.4,285.4,234.8,1460.4,341.6,543.4,126.8,1325.4,1281.0,365.2,554.2,2058.6,148.0,883.6,443.4,544.8,2007.0,542.6,432.4,392.6,98.6,305.8,110.4,431.6,373.0,108.6,451.6,471.8,1264.2,114.2,37.2,139.2,992.2,451.2,1990.6,150.6,111.8,352.8,829.4,146.0,369.4,1064.4,258.0,1050.6,954.6,341.4,93.0,524.2,328.6,795.8,983.6,755.8,371.8,827.8,773.0,323.0,85.2,240.0,251.6,390.8,576.4,341.2,268.6,623.0,1826.2,176.2,478.0,562.4,317.2,449.8,144.2,340.2,302.2,249.2,514.6
2023-03-11,89.6,182.8,351.4,263.8,166.0,748.8,128.6,528.2,201.4,151.0,415.6,77.6,428.2,29.0,440.4,313.0,405.4,920.2,95.0,479.2,502.4,62.8,108.6,294.6,190.0,1234.8,270.8,592.6,90.8,671.8,654.2,291.2,371.8,1450.4,95.2,509.2,343.8,370.2,1781.8,390.6,278.4,347.8,96.2,237.4,88.6,244.6,274.6,92.6,241.4,463.8,1114.2,39.2,22.6,110.2,663.2,114.4,1582.6,83.6,46.2,377.0,1037.2,77.2,211.4,958.6,178.8,161.0,926.0,225.8,88.6,398.8,216.2,726.6,730.2,506.2,340.4,630.8,1285.8,147.6,73.2,149.4,122.2,264.0,372.6,243.2,384.6,700.0,1039.0,123.4,306.4,506.0,283.8,441.0,79.6,204.2,230.8,245.2,572.2
2023-03-12,60.4,147.0,270.8,297.0,123.2,450.8,96.6,353.0,147.2,106.4,257.4,55.4,175.4,25.4,263.4,188.8,177.6,637.0,67.0,288.8,487.8,45.6,76.6,321.4,100.0,915.6,187.2,441.6,64.8,443.0,426.6,192.8,331.6,938.8,64.2,327.0,199.4,263.0,1018.4,264.6,190.8,193.6,55.4,137.6,55.4,159.2,180.6,60.2,185.6,350.0,809.2,26.8,12.8,65.0,499.2,82.6,1196.8,56.4,23.4,337.2,687.2,51.0,150.6,624.6,127.2,112.2,690.2,160.2,47.6,248.2,148.6,854.6,525.8,322.0,243.0,412.0,1045.6,97.8,50.4,112.6,88.0,192.6,212.6,155.0,210.4,426.0,1010.8,68.8,212.0,269.8,166.6,279.2,57.0,145.0,167.2,130.8,426.8
2023-03-13,206.2,412.8,567.2,189.8,216.6,806.4,250.4,710.4,324.8,347.6,592.2,178.6,811.2,84.8,373.2,330.2,302.8,1066.8,190.2,518.6,793.0,123.2,287.4,311.6,254.2,1433.6,390.0,533.2,138.0,1634.0,1498.6,397.4,757.8,1855.2,174.6,925.4,473.2,579.0,1497.8,558.2,461.8,407.4,110.4,351.0,120.2,475.8,372.0,106.0,535.8,597.0,1517.6,114.8,48.8,142.2,1150.4,537.8,2259.0,180.8,117.4,401.6,817.8,155.6,423.4,1138.2,287.6,1176.4,905.2,334.8,96.0,536.2,327.2,963.6,1059.8,803.0,452.4,851.4,1220.6,327.8,89.6,254.4,291.0,461.2,505.6,342.4,266.0,569.2,2161.0,192.8,500.6,575.6,282.4,431.2,161.0,358.2,306.2,259.4,501.6
2023-03-14,214.4,447.6,685.2,241.6,255.2,1070.8,267.2,912.8,399.0,427.8,676.6,205.4,1111.8,89.0,490.2,424.0,367.2,1226.8,212.8,710.8,1011.2,129.6,370.2,266.8,316.8,1855.8,472.2,722.4,175.6,2240.6,2099.8,562.8,990.6,2218.2,230.0,1020.8,565.6,735.0,2450.4,664.6,600.8,481.6,168.0,475.0,156.0,552.8,401.8,132.0,700.2,716.0,1959.4,140.4,66.0,229.2,1472.6,593.4,3079.8,195.6,143.6,527.4,1076.0,173.4,516.4,1467.0,360.4,1349.8,1093.4,409.4,119.8,616.0,398.4,848.8,1362.0,1013.6,542.2,1032.6,1298.0,363.8,107.4,286.8,322.6,556.8,560.0,400.4,314.0,699.0,2565.2,229.6,583.2,731.0,382.6,489.2,217.6,377.6,354.2,329.8,624.2
2023-03-15,219.2,478.8,675.0,266.4,251.2,1077.8,276.4,938.6,408.4,435.6,675.6,201.2,1056.4,95.2,494.6,428.6,386.8,1238.0,224.2,696.6,1084.6,128.6,378.2,270.6,321.4,1860.8,489.8,676.8,182.6,2189.2,2035.0,548.6,1044.8,2188.6,240.4,1032.6,608.4,718.6,2588.4,678.8,615.0,530.6,158.4,485.8,156.6,565.0,411.8,139.0,710.0,709.6,1969.0,141.6,69.6,239.4,1497.2,584.4,3289.8,197.8,143.0,540.6,1122.6,176.4,529.2,1495.4,362.6,1330.4,1086.4,429.6,137.0,670.6,430.6,857.0,1429.4,1023.4,547.6,1054.4,1365.4,377.2,107.2,289.4,326.0,555.6,560.2,420.2,345.6,715.6,2657.8,235.0,614.0,745.6,406.6,502.4,218.8,363.2,358.4,358.0,723.2
2023-03-16,226.2,464.2,671.2,437.75,257.6,1083.2,270.2,926.8,408.6,429.2,687.2,206.0,1079.4,94.0,515.6,446.2,423.4,1263.2,250.6,684.0,970.2,130.2,357.4,322.2,324.0,1989.2,495.2,717.0,192.6,2095.2,2060.8,519.6,876.4,2283.4,233.0,1078.4,628.6,721.6,2124.2,677.6,585.8,508.6,177.2,462.2,147.4,548.2,424.8,149.6,663.6,725.4,1772.8,136.0,74.75,242.6,1461.0,570.8,3005.8,196.8,137.6,607.4,1068.8,180.2,522.6,1454.4,338.8,1299.4,1103.8,441.8,138.2,658.0,422.2,879.4,1483.0,1025.2,552.0,1076.6,1652.6,366.8,109.6,296.2,326.8,571.6,556.0,428.6,356.2,734.6,2450.6,237.2,587.2,743.2,403.2,543.0,203.4,395.6,369.4,354.4,874.4
2023-03-17,199.8,393.0,572.4,395.5,213.8,976.8,245.8,802.0,333.4,345.8,691.6,185.2,872.4,77.4,561.8,422.6,450.4,1237.4,216.8,609.8,858.6,119.4,276.6,288.2,274.8,1748.4,412.8,666.0,182.2,1427.2,1337.2,407.6,676.2,1919.4,190.0,977.2,530.2,603.0,2407.0,655.8,504.2,488.4,121.2,375.6,122.4,473.4,417.2,137.6,511.2,704.8,1481.8,115.2,46.8,155.0,1053.4,469.6,2432.0,179.0,108.4,622.0,924.2,165.4,430.6,1281.8,297.8,1050.4,1109.8,371.6,122.0,629.2,347.0,903.4,1187.8,900.0,541.2,981.6,1415.0,329.0,97.8,271.8,285.6,493.6,508.8,398.2,335.6,741.8,2187.6,213.2,514.4,645.4,356.8,496.2,160.4,369.2,348.0,302.6,805.4
2023-03-18,91.4,235.4,789.6,448.25,206.8,887.8,142.0,670.8,263.4,198.6,410.0,91.2,450.2,43.2,550.2,398.8,307.6,1404.4,86.6,596.0,610.8,70.0,144.8,341.6,248.0,1566.6,399.0,706.6,149.8,757.6,747.2,487.0,567.0,1566.8,116.8,652.6,430.8,459.0,2700.8,657.2,351.2,471.4,111.2,328.4,111.4,307.6,318.8,133.0,437.4,596.2,1443.2,51.0,28.0,143.4,792.4,126.4,2152.2,100.8,51.6,444.4,896.8,77.0,311.0,1567.6,234.2,183.4,1066.4,259.8,116.6,713.0,257.2,805.2,979.0,693.8,561.4,802.0,2737.2,151.6,77.4,172.4,130.2,317.6,360.2,299.4,371.6,968.6,1516.0,149.8,408.4,632.4,333.8,686.4,106.6,232.6,255.2,291.0,951.0
