Date,Station,Entries
3/1/2023,Union Station,4374.0
3/1/2023,Metro Center,945.0
3/1/2023,Shaw-Howard U,785.0
3/1/2023,Spring Hill,138.0
3/1/2023,Southern Ave,173.0
3/1/2023,Mt Vernon Sq,803.0
3/1/2023,Potomac Ave,106.0
3/1/2023,Metro Center,1958.0
3/1/2023,Court House,616.0
3/1/2023,Virginia Sq-GMU,209.0
3/1/2023,L'Enfant Plaza,985.0
3/1/2023,Rhode Island Ave,867.0
3/1/2023,Capitol Heights,199.0
3/1/2023,Federal Triangle,354.0
3/1/2023,Anacostia,5.0
3/1/2023,Mt Vernon Sq,15.0
3/1/2023,Tysons,3.0
3/1/2023,Virginia Sq-GMU,2.0
3/2/2023,Brookland-CUA,315.0
3/2/2023,Addison Road,14.0
3/1/2023,Ballston-MU,6.0
3/1/2023,Spring Hill,4.0
3/2/2023,Metro Center,840.0
3/2/2023,Dupont Circle,1782.0
3/2/2023,Franconia-Springfield,380.0
3/2/2023,Braddock Road,105.0
3/2/2023,McLean,134.0
3/2/2023,Crystal City,977.0
3/2/2023,Shady Grove,851.0
3/2/2023,New Carrollton,1455.0
3/2/2023,Mt Vernon Sq,372.0
3/2/2023,New Carrollton,422.0
3/2/2023,Forest Glen,716.0
3/2/2023,Morgan Boulevard,477.0
3/2/2023,Shady Grove,675.0
3/2/2023,Cleveland Park,146.0
3/2/2023,Virginia Sq-GMU,833.0
3/2/2023,Virginia Sq-GMU,428.0
3/2/2023,Landover,60.0
3/2/2023,New Carrollton,82.0
3/2/2023,Arlington Cemetery,216.0
3/1/2023,West Falls Church,4.0
3/2/2023,Cheverly,17.0
3/2/2023,Morgan Boulevard,15.0
3/2/2023,Greenbelt,2.0
3/2/2023,Downtown Largo,10.0
3/2/2023,Van Ness-UDC,0.0
3/3/2023,Gallery Place,3135.0
3/3/2023,Silver Spring,1050.0
3/3/2023,East Falls Church,342.0
3/4/2023,Tenleytown-AU,728.0
3/4/2023,Silver Spring,1019.0
3/4/2023,Van Ness-UDC,519.0
3/4/2023,Grosvenor-Strathmore,320.0
3/4/2023,Gallery Place,1856.0
3/4/2023,Columbia Heights,2146.0
3/4/2023,Metro Center,2220.0
3/3/2023,Wheaton,630.0
3/3/2023,Clarendon,490.0
3/3/2023,L'Enfant Plaza,1623.0
3/3/2023,Capitol South,871.0
3/3/2023,Silver Spring,1084.0
3/3/2023,McPherson Sq,1028.0
3/3/2023,Ballston-MU,1219.0
3/4/2023,Wheaton,161.0
3/4/2023,Arlington Cemetery,328.0
3/4/2023,Morgan Boulevard,0.0
3/3/2023,Cheverly,190.0
3/4/2023,King St-Old Town,976.0
3/4/2023,Twinbrook,340.0
3/4/2023,Smithsonian,262.0
3/4/2023,Crystal City,397.0
3/3/2023,Cheverly,72.0
3/4/2023,Suitland,51.0
3/4/2023,Downtown Largo,1.0
3/5/2023,Huntington,538.0
3/5/2023,College Park-U of Md,687.0
3/5/2023,Potomac Ave,398.0
3/5/2023,Metro Center,2384.0
3/5/2023,Ballston-MU,653.0
3/5/2023,Metro Center,1469.0
3/5/2023,Eastern Market,801.0
3/3/2023,NoMa-Gallaudet U,660.0
3/3/2023,Court House,340.0
