Date,Anacostia,Stadium-Armory,Van Ness-UDC,Shaw-Howard U,Gallery Place,Capitol South
2023-03-01,444.2,284.2,642.0,541.2,2102.6,1023.6
2023-03-02,469.4,290.0,569.6,493.0,2015.8,936.0
2023-03-03,412.0,240.4,458.4,500.4,1929.2,746.6
2023-03-04,207.4,156.4,337.8,342.8,1933.8,342.6
2023-03-05,168.2,123.8,266.2,284.4,1454.2,173.4
2023-03-06,426.4,269.4,452.2,411.6,1327.8,779.0
2023-03-07,466.8,285.4,543.8,481.6,1736.0,1055.0
2023-03-08,449.6,292.8,577.8,464.6,2112.6,1071.4
2023-03-09,438.8,270.2,534.2,416.0,2440.4,1039.8
2023-03-10,367.0,240.0,478.0,371.8,2007.0,829.4
2023-03-11,182.8,149.4,306.4,340.4,1781.8,428.2
2023-03-12,147.0,112.6,212.0,243.0,1018.4,175.4
2023-03-13,412.8,254.4,500.6,452.4,1497.8,811.2
2023-03-14,447.6,286.8,583.2,542.2,2450.4,1111.8
2023-03-15,478.8,289.4,614.0,547.6,2588.4,1056.4
2023-03-16,464.2,296.2,587.2,552.0,2124.2,1079.4
2023-03-17,393.0,271.8,514.4,541.2,2407.0,872.4
2023-03-18,235.4,172.4,408.4,561.4,2700.8,450.2
2023-03-19,161.2,126.6,239.0,283.0,1374.0,178.0
2023-03-20,435.6,256.2,485.6,459.4,1435.6,831.0
2023-03-21,470.2,300.8,603.6,541.8,2444.8,1073.2
2023-03-22,477.0,297.0,656.0,557.4,2440.6,1214.6
2023-03-23,485.2,316.8,603.6,572.0,2518.8,1177.0
2023-03-24,411.0,279.6,469.6,531.2,2224.8,941.2
2023-03-25,225.4,148.4,343.8,397.6,1969.2,417.2
2023-03-26,209.2,199.4,398.8,451.6,1764.6,393.6
2023-03-27,457.0,275.2,565.8,506.6,2127.8,989.4
2023-03-28,520.4,297.8,626.6,585.0,2697.2,1414.6
2023-03-29,487.4,307.4,666.4,564.6,2582.2,1270.2
2023-03-30,516.8,313.4,660.8,582.6,2055.2,1222.0
2023-03-31,449.6,277.6,567.0,543.6,2439.4,879.8
