geoid_tract_20,census_tract_name,depressed_perc,black_non_hisp_perc,white_non_hisp_perc,hispanic_latino_perc,3_plus_cre_risk_factors_perc,below_poverty_level_perc,no_health_insurance_perc,male_perc,female_perc,income_inequality_gini_index,hs_grad_perc,households_no_vehicle_perc,households_w_internet_perc,walkability_score,GEOID,neighborhood_name
11001009907,"Census Tract 99.07, District of Columbia, District of Columbia",21.1,97.5,0.4,2.0,28.85,19.9,7.6,40.0,60.0,0.428,88.6,54.3,64.4,12.25,11001009907,MARSHALL HEIGHTS
11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",18.3,68.7,25.6,2.7,35.38,19.7,4.3,51.1,48.9,0.4983,86.0,34.2,72.8,13.5,11001008802,TRINIDAD
11001005900,"Census Tract 59, District of Columbia, District of Columbia",22.1,22.4,50.8,8.6,17.12,27.7,4.6,52.6,47.4,0.5047,90.7,61.1,82.6,16.5,11001005900,CHINATOWN
11001002900,"Census Tract 29, District of Columbia, District of Columbia",19.3,19.6,47.1,25.0,13.98,8.2,7.8,50.1,49.9,0.4526,85.6,38.2,88.4,16.16666667,11001002900,COLUMBIA HEIGHTS
11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",18.5,37.6,48.7,5.2,9.09,9.3,1.4,46.3,53.7,0.3496,97.3,12.4,89.9,15.75,11001003302,BLOOMINGDALE
11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",20.5,27.3,45.2,16.5,35.81,15.0,1.8,53.3,46.7,0.4942,91.3,61.1,80.0,15.666666665000001,11001005002,LOGAN CIRCLE/SHAW
11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",22.1,98.7,0.8,0.0,39.28,37.5,4.2,45.1,54.9,0.5259,84.4,49.3,60.2,11.666666665000001,11001007502,NAYLOR/HILLCREST
11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",18.5,44.4,40.8,5.1,20.98,10.9,1.7,46.9,53.1,0.4276,94.2,11.5,90.2,15.583333329999999,11001009301,BRENTWOOD
11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",22.8,7.1,71.8,11.3,20.22,2.7,0.9,44.5,55.5,0.4873,98.0,12.1,92.8,13.0,11001000901,KENT/PALISADES
11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",16.8,58.1,19.2,17.6,16.59,11.6,3.7,47.8,52.2,0.4888,94.9,17.7,88.4,15.083333334999999,11001001901,BRIGHTWOOD
11001009811,"Census Tract 98.11, District of Columbia, District of Columbia",23.3,96.6,0.9,0.3,35.22,38.6,6.6,42.7,57.3,0.62,86.1,50.9,55.0,13.5,11001009811,BELLEVUE
11001009804,"Census Tract 98.04, District of Columbia, District of Columbia",21.5,83.4,1.8,9.4,22.65,30.2,1.6,45.2,54.8,0.4673,86.7,42.6,74.0,12.75,11001009804,CONGRESS HEIGHTS/SHIPLEY
11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",20.7,2.4,75.8,9.5,9.62,9.8,2.2,48.9,51.1,0.4428,99.6,59.2,94.7,14.91666667,11001005301,LOGAN CIRCLE/SHAW
11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",19.4,40.1,20.8,35.3,19.01,11.7,13.6,55.8,44.2,0.5074,76.9,36.5,70.1,13.916666665000001,11001002501,16th ST HEIGHTS
11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",20.3,4.5,80.6,5.4,11.93,4.8,3.0,48.3,51.7,0.4018,100.0,42.5,97.0,15.16666667,11001004002,ADAMS MORGAN
11001007000,"Census Tract 70, District of Columbia, District of Columbia",19.9,3.2,82.6,9.9,8.0,2.0,1.0,53.5,46.5,0.3869,96.7,15.7,91.3,16.333333335,11001007000,CAPITOL HILL
11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",19.7,31.5,25.7,34.5,18.58,12.7,4.6,51.9,48.1,0.4573,74.5,37.5,74.9,14.583333334999999,11001002502,16th ST HEIGHTS
11001002400,"Census Tract 24, District of Columbia, District of Columbia",17.9,40.8,34.2,18.9,16.63,8.5,2.8,42.3,57.7,0.3637,88.5,28.1,90.5,15.583333334999999,11001002400,PETWORTH
11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",18.6,62.9,11.9,20.9,27.5,7.2,9.6,50.2,49.8,0.4182,82.1,29.4,76.5,14.83333333,11001002101,BRIGHTWOOD PARK
11001009000,"Census Tract 90, District of Columbia, District of Columbia",17.1,79.3,8.4,8.2,32.75,12.0,2.8,39.4,60.6,0.506,87.0,32.8,68.7,13.916666665000001,11001009000,FORT LINCOLN/GATEWAY
11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",20.9,95.0,1.1,0.0,26.0,31.9,3.7,49.6,50.4,0.6287,87.0,45.9,55.0,13.83333333,11001009905,MARSHALL HEIGHTS
11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",25.8,89.9,3.4,2.5,41.65,68.6,5.0,43.6,56.4,0.6461,70.8,66.3,51.0,12.41666667,11001007401,SAINT ELIZABETHS
11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",17.8,32.4,54.7,4.4,15.82,6.4,2.6,57.4,42.6,0.3995,95.6,17.6,91.5,16.5,11001008410,UNION STATION
11001008302,"Census Tract 83.02, District of Columbia, District of Columbia",20.2,13.6,67.9,9.4,11.2,1.8,0.1,54.2,45.8,0.3957,94.7,20.4,95.1,15.16666667,11001008302,UNION STATION
